Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,7446.32713009,17180433167.6,1.34615722005e+11,-0.21,0.93,8.81
Ethereum,ETH,151.611847685,6642097225.8,16490251246.9,-0.13,1.94,8.83
XRP,XRP,0.225287273954,1125345632.88,9754913168.84,0.09,1.46,4.23
Tether,USDT,1.01131741211,19365177619.5,4154536888.18,0.32,0.63,0.21
Bitcoin Cash,BCH,217.63003158,1204957761.58,3948709217.12,-0.11,1.10,8.09
Litecoin,LTC,47.5204070655,2667227857.49,3029445874.16,-0.46,1.85,7.16
EOS,EOS,2.78990998092,1709536803.72,2629707766.84,-0.35,2.82,15.06
Binance Coin,BNB,15.6029744884,185982136.99,2426835364.95,-0.20,2.44,4.55
Bitcoin SV,BSV,103.583473367,354961952.961,1871589183.94,-0.92,-1.23,5.44
Stellar,XLM,0.0577411356327,197573568.883,1157985746.29,-0.29,0.35,2.94
TRON,TRX,0.0158168233775,1202702447.48,1054698558.3,-0.58,3.83,15.63
Cardano,ADA,0.0392258950409,52542383.6564,1017012547.64,-0.52,0.15,13.08
UNUS SED LEO,LEO,0.931557409889,7889203.83764,931090599.857,0.39,0.71,1.05
Monero,XMR,53.6199485855,30959603.0699,929500758.131,-0.30,-0.05,12.95
Tezos,XTZ,1.26101579666,25596143.5499,832741556.395,1.55,-4.01,-1.86
Chainlink,LINK,2.16993405248,129186911.797,759476918.368,0.21,-0.23,-0.65
Cosmos,ATOM,3.90951816327,171287409.844,745499916.578,1.23,2.68,24.32
Huobi Token,HT,2.84247106166,150130142.069,685842921.158,0.05,4.52,21.70
NEO,NEO,9.28696583267,298200446.258,655091713.373,-0.45,1.39,4.92
IOTA,MIOTA,0.2066416179,4560053.98279,574366634.681,-0.24,1.89,3.29
Maker,MKR,522.867840434,4828954.00955,522867840.434,-0.48,1.58,13.71
Dash,DASH,53.9476953613,317833254.934,495703795.926,-0.16,1.18,7.10
USD Coin,USDC,1.00996106267,183122498.917,461037363.055,0.20,1.95,0.87
Ethereum Classic,ETC,3.95801233564,477801993.314,457298121.955,-0.45,1.91,6.95
VeChain,VET,0.00758303815589,183371007.799,420515369.913,0.02,28.95,41.83
Ontology,ONT,0.636372531031,89785825.9908,405592777.208,-0.51,2.84,13.52
MINDOL,MIN,2.64381182243,6673206.14976,374603590.089,1.40,6.20,33.43
NEM,XEM,0.0363339251034,28127509.8822,327005325.894,0.13,1.47,6.78
Crypto.com Coin,CRO,0.0266665653512,5326129.69802,321045964.406,-0.35,1.01,-8.92
Dogecoin,DOGE,0.00230409602972,76768806.6446,281757713.713,-0.05,-1.60,2.73
Basic Attenti...,BAT,0.193979662749,47954594.097,263123556.214,0.09,-1.59,-5.54
Zcash,ZEC,28.2120980517,139529114.581,224992716.242,-0.04,0.20,5.16
Paxos Standard,PAX,1.0106329812,148169240.658,221055240.628,0.24,0.37,0.23
HedgeTrade,HEDG,0.75287168074,339035.632514,216913515.173,1.07,-1.23,28.84
Decred,DCR,19.5308485663,11609616.5199,210048671.441,0.07,4.87,17.27
Synthetix Net...,SNX,1.21130532107,263035.705461,179683764.394,0.23,-5.80,-10.79
Qtum,QTUM,1.79064271795,252966545.385,172269456.049,0.11,1.40,13.81
TrueUSD,TUSD,1.00785332152,135322917.328,163652280.384,0.12,0.35,-0.13
0x,ZRX,0.257683354489,62986433.6357,155166627.073,-0.60,3.15,11.24
Centrality,CENNZ,0.143230079027,437369.171636,153138216.205,-0.29,-0.07,-6.13
Holo,HOT,0.000800503617341,8139531.37809,129320031.71,0.30,2.60,5.76
Algorand,ALGO,0.275279446024,121089898.315,124433780.176,2.40,4.94,35.81
Augur,REP,10.7948360207,5801375.9005,118743196.228,-0.27,1.31,5.53
Nano,NANO,0.869736271584,3431438.17991,115890877.199,-0.85,1.91,16.85
Bitcoin Gold,BTG,6.42906610871,11134138.5128,112598172.577,-0.40,2.11,4.78
Ravencoin,RVN,0.0224671877301,3659114.38248,111838964.458,-0.04,1.45,9.05
OmiseGO,OMG,0.763049771877,51206263.0184,107014219.138,0.17,2.96,5.58
Seele,SEELE,0.147036916946,30698965.4677,102861470.025,-0.94,4.86,-10.98
ABBC Coin,ABBC,0.182293487318,49043807.1019,101469410.311,-0.30,4.02,3.90
V Systems,VSYS,0.0526954163973,2459139.23086,98276013.7606,-1.12,0.74,10.43
EDUCare,EKT,0.0914408990687,4485018.73772,91440899.0687,4.24,1.64,-12.19
ZB,ZB,0.196129295011,265346491.408,90864507.6918,-0.94,1.82,5.30
DigiByte,DGB,0.00685841610463,1318594.12382,86096318.8032,2.36,2.27,9.71
Single Collat...,SAI,1.0101621211,1357904.95471,83563014.2542,0.19,1.00,-0.66
Bytom,BTM,0.0832648212842,12744163.6632,83472922.9704,0.14,4.85,26.54
Lisk,LSK,0.684650822818,956560.252273,83382411.0662,-0.18,1.07,6.91
Komodo,KMD,0.706206292805,3069898.52571,82769967.5625,0.01,-1.63,12.03
KuCoin Shares,KCS,0.983160250493,4994643.35008,80976569.4327,-0.22,0.98,8.37
LUNA,LUNA,0.279298820885,623740.365575,80372649.8685,-0.28,-1.70,12.87
FTX Token,FTT,1.49003312402,8428136.73996,78075023.7382,-0.16,3.75,5.45
Swipe,SXP,1.18616720415,12659542.1545,72517412.8209,0.08,1.08,5.53
Quant,QNT,5.96168906338,3133339.15966,71973910.0997,-0.19,0.77,7.39
THETA,THETA,0.0812624690011,2783503.03438,70739197.8615,1.30,11.22,19.02
Bitcoin Diamond,BCD,0.376885098577,34293285.6156,70286394.2289,0.25,2.92,4.70
Molecular Future,MOF,1.56120015636,31590954.0946,68658130.3519,-1.09,16.47,59.96
ICON,ICX,0.134419756375,6990243.9228,68192598.9585,0.22,2.08,10.96
IOST,IOST,0.00554007018291,30893711.4559,66558212.6481,-0.40,8.53,24.61
BitTorrent,BTT,0.000310476886448,101331513.824,65857270.4842,-0.05,1.96,9.61
Siacoin,SC,0.00157297415589,1940740.73716,65777135.2039,-1.16,-0.76,7.94
Matic Network,MATIC,0.0260243340917,55484073.0807,65492232.0535,-0.24,-7.60,57.71
MCO,MCO,4.0174875637,6496545.82043,63451520.0072,-0.10,2.18,8.68
Bytecoin,BCN,0.000340840470153,4052.58581897,62737424.4726,2.16,7.15,13.79
Waves,WAVES,0.614765377747,10569056.5254,61774742.0165,-0.53,3.56,8.71
Verge,XVG,0.00380792995759,1591290.7736,61242050.8662,-0.41,-0.16,11.09
MonaCoin,MONA,0.922851598945,523306.739525,60658735.553,-0.02,0.40,2.26
Nexo,NEXO,0.102300777878,8578303.31026,57288436.737,0.36,10.73,18.02
BitShares,BTS,0.0207530298497,1181286.18405,57045928.4509,0.01,1.06,6.70
HyperCash,HC,1.23978409571,2586297.82108,55100342.3762,-0.05,2.76,11.59
MaidSafeCoin,MAID,0.121427152989,283035.737065,54952150.9675,-0.14,1.80,16.57
Ardor,ARDR,0.053863266164,2568213.38331,53809375.6969,0.44,6.22,26.59
DxChain Token,DX,0.00100394312797,1110349.76548,50197156.3982,0.30,0.84,-3.30
iExec RLC,RLC,0.618283465831,966968.542446,49506447.5555,0.27,-4.96,-7.38
Enjin Coin,ENJ,0.0619513542212,45341659.834,48617232.2898,1.00,7.76,21.11
Aeternity,AE,0.165398145977,6199811.14363,48456527.6921,-0.25,3.71,9.72
Steem,STEEM,0.131052218949,533950.637079,46232123.7952,-0.45,6.74,22.78
Silverway,SLV,0.460718816642,2718811.62152,46071881.6642,-1.12,-5.11,-18.20
Zilliqa,ZIL,0.00525960457245,5791974.11829,45692078.684,-0.03,3.02,15.84
Horizen,ZEN,5.57344087229,540189.592007,43957867.4958,-0.07,2.62,20.58
Chiliz,CHZ,0.0115530402967,2700194.87484,43482977.0271,0.21,1.69,9.19
Fetch.ai,FET,0.0617489883921,18589238.3494,40423797.8901,1.95,10.65,66.51
BitMax Token,BTMX,0.0512469135354,2644735.91158,40288087.9799,1.35,-0.32,6.54
SOLVE,SOLVE,0.122195064814,867828.863894,40009613.7934,-2.40,-5.12,23.74
Enigma,ENG,0.528327702194,1113564.19743,39538022.313,-0.62,-5.58,48.11
Electroneum,ETN,0.00396466190506,290275.116387,39276150.1882,0.28,4.61,25.16
Golem,GNT,0.0393454182972,2262060.1204,38560477.2022,-0.32,7.46,18.47
ILCoin,ILC,0.110818757701,377065.075418,38281507.3076,-3.71,-4.43,3.83
Status,SNT,0.0110285911376,181277637.921,38274546.7475,0.42,-2.41,18.26
Crypterium,CRPT,0.450732812084,142612.962381,38204031.3938,-0.93,4.33,6.94
Pundi X,NPXS,0.000160928866715,1312427.99167,37747928.3578,-0.14,4.83,18.69
aelf,ELF,0.0689715296675,16406027.8833,37553632.2667,0.10,6.77,17.04
Energi,NRG,1.58971518958,839901.326539,36923935.0208,0.69,21.73,0.61
Digitex Futures,DGTX,0.044419226764,1375386.73232,34924617.0432,2.86,4.79,-6.77
STASIS EURO,EURS,1.0918632396,700955.511253,34916920.5549,0.05,0.21,0.26
DigixDAO,DGD,17.4492428712,822860.79163,34898485.7424,0.14,3.09,62.21
RIF Token,RIF,0.0626893305419,2242395.17584,33662917.6446,-2.14,-1.46,3.44
Zcoin,XZC,3.73560765891,3307600.73476,33360912.6708,0.09,2.23,5.88
Grin,GRIN,1.19321613878,28293490.7662,32903627.0922,-0.41,6.74,21.41
Kyber Network,KNC,0.18623723316,3223907.51577,31393646.1544,-0.03,3.26,30.19
Stratis,STRAT,0.314260355536,470294.131666,31296069.1516,0.69,-1.25,14.59
Ren,REN,0.0387905223135,1485976.15739,31245907.3602,-0.04,-0.29,-6.38
Metaverse ETP,ETP,0.397610544597,11181945.0364,30655326.7448,0.51,1.78,11.69
Populous,PPT,0.572787207363,3147448.07439,30502205.2689,3.65,10.37,18.22
Aurora,AOA,0.00466165895497,1370023.46529,30498111.9218,1.57,-6.04,11.30
Newton,NEW,0.0024828537175,3127432.05212,29665963.8313,-0.65,0.90,-0.74
Nash Exchange,NEX,0.818585335671,1790475.67025,29630069.8108,0.14,0.81,14.11
GXChain,GXC,0.451099564891,5410863.86791,29321471.7179,0.18,2.60,12.99
Tierion,TNT,0.068196792928,565461.524574,29221048.4096,0.21,2.28,20.39
Elastos,ELA,1.66821065733,2469181.05863,28236683.9037,0.11,1.97,14.48
Huobi Pool Token,HPT,0.00553529217569,1316159.1239,28001926.5842,-0.73,7.84,28.98
Ripio Credit ...,RCN,0.0539138742577,6566029.85006,27454849.3746,-0.38,21.50,31.56
LINA,LINA,0.0990101495276,1006267.60488,27429867.5431,41.11,33.95,39.88
Ignis,IGNIS,0.0346204539323,4115190.26842,26351149.0568,-2.32,-2.72,17.69
Lambda,LAMB,0.0359454635973,54859808.6624,26143533.2622,-1.70,4.16,33.27
Decentraland,MANA,0.0247167291313,2999662.18795,25956063.238,-0.27,-0.14,22.73
EDC Blockchain,EDC,0.00939614161954,710722.134445,25093768.2666,0.48,-4.99,12.81
Aion,AION,0.068985656816,1330244.57974,25024544.1126,0.54,3.86,18.17
Thunder Token,TT,0.00853532587066,2324328.73632,24768829.4791,0.04,-13.74,26.79
Waltonchain,WTC,0.569159825165,1109559.28246,24492983.9644,0.08,6.03,8.44
Beam,BEAM,0.521402376643,32422258.0348,24466869.0923,-0.70,-1.05,16.90
Bread,BRD,0.26861112213,943959.9485,23834933.3192,0.06,2.40,13.99
WaykiChain,WICC,0.125950512429,370209.077653,23804646.8491,0.24,2.49,28.09
Factom,FCT,2.48174872237,118733.281598,23627699.2381,0.47,-1.81,-1.10
Loopring,LRC,0.0257367056037,3178804.73346,23555957.425,-0.35,-7.37,18.80
NULS,NULS,0.315186517869,2737367.09156,23251467.0666,-0.03,5.93,13.97
Fantom,FTM,0.0127298204283,2789378.27723,23087548.2369,0.21,2.64,33.67
IoTeX,IOTX,0.00425201454883,1346933.55174,22960878.559,-0.06,2.68,16.85
XMax,XMX,0.00127649527655,219563802.73,22861527.3916,-0.37,1.77,11.36
Ark,ARK,0.193745287441,1309446.6342,22578749.5313,1.34,7.05,28.40
YOU COIN,YOU,0.0513497127999,7082117.92849,22447777.2856,-0.06,-0.95,2.29
ReddCoin,RDD,0.000776192666226,75720.9861527,22361111.8889,3.88,15.45,18.43
Nebulas,NAS,0.429911270233,2422164.04129,22335003.5289,-0.02,4.56,16.74
WAX,WAXP,0.0247696288047,458315.820792,20737273.0846,-0.91,7.05,36.66
Hyperion,HYN,0.0654498552156,389484.850068,20732283.4315,-0.29,2.42,14.09
Wanchain,WAN,0.194975815031,1008512.69372,20697168.7693,0.71,0.26,7.03
Civic,CVC,0.0301946417571,2448074.19513,20230409.9773,-1.10,7.32,17.85
Revain,R,0.0415778170534,313569.801064,20142373.4715,0.13,-0.96,1.69
WINk,WIN,0.000102260655267,1003895.43823,20094230.4109,-0.40,-1.37,-6.96
Project Pai,PAI,0.0135004176082,555218.006209,19583143.6521,-0.02,1.27,5.83
FunFair,FUN,0.00295642536383,160403.088029,19361272.538,0.65,1.75,9.22
Diamond Platf...,DPT,12.8650838144,81892.827085,18894107.4912,-0.35,0.45,3.08
Loom Network,LOOM,0.0187343407351,1974774.61307,18160392.2717,-0.65,3.99,26.65
Binance USD,BUSD,1.00964389677,9289090.62221,18154576.6981,0.26,0.41,-0.02
QASH,QASH,0.0511222648854,207418.039832,17892792.7099,0.77,0.99,1.33
TrueChain,TRUE,0.223475429132,4058606.68659,17783178.6114,0.36,5.66,14.33
BHPCoin,BHP,0.880769672015,1729569.2295,17771798.9157,-0.57,2.13,11.87
Loki,LOKI,0.400164188302,24388.5748637,17749264.5647,-0.03,-6.49,29.91
Bancor,BNT,0.279819986907,2229302.68993,17646117.5312,0.00,2.92,18.59
Celer Network,CELR,0.00502081438036,6607481.28457,17618260.2913,2.12,5.35,35.30
Divi,DIVI,0.0126864233414,85119.9091164,17524306.1133,-0.14,5.86,8.72
Hedera Hashgraph,HBAR,0.0258097461622,1650005.77529,17501405.8299,0.38,5.38,10.17
TomoChain,TOMO,0.266840928428,5217855.26827,17461603.3847,0.81,1.74,9.36
Aragon,ANT,0.5551266152,3100.39094871,17319540.881,-0.09,2.43,10.68
Power Ledger,POWR,0.0405262887196,393196.193257,17101472.7667,0.29,3.02,11.42
Groestlcoin,GRS,0.227539306708,2859343.82204,16819419.7369,2.34,10.79,33.88
Gatechain Token,GT,0.391246399983,1706080.77255,16889078.5936,-0.20,3.57,13.06
Dragon Coins,DRG,0.0481747985768,30118.8330001,16796504.0648,-0.09,-10.32,-10.77
Storj,STORJ,0.122557123263,931188.551198,16641717.8623,-0.61,1.06,5.07
CRYPTO20,C20,0.409429353472,887.253976389,16528498.125,-0.14,-0.96,9.10
Streamr DATAcoin,DATA,0.0239602389052,3042730.41539,16224783.9312,0.74,-11.50,-12.14
Metal,MTL,0.295016306022,1437145.96701,15778599.3526,0.12,-1.46,10.82
Matrix AI Net...,MAN,0.0805027365129,904800.945452,15664293.8339,-2.47,-0.84,12.96
Aave,LEND,0.0137972614386,243772.719653,15568248.6232,-0.26,-3.43,4.21
Gnosis,GNO,13.9385486858,41496.6938281,15396381.4928,-0.36,-0.02,3.76
Constellation,DAG,0.0176141732322,1679640.59166,15309686.9377,0.97,-1.15,25.96
Santiment Net...,SAN,0.243679486764,659.202084668,15269047.0352,-0.03,0.39,10.32
Arcblock,ABT,0.153988139431,4310004.37417,15176194.1277,-0.10,1.24,12.59
Robotina,ROX,0.0498194358551,117905.064108,15133072.7243,-0.11,0.84,3.13
